,Unnamed: 0,Source,State,Year,Species,Latitude,Longitude,public_positional_accuracy
0,0,I-naturalist,Alberta,2007,Coccinella septempunctata,51.0233075055,-114.1675913765,231.0
1,1,The Lost Ladybugs,Alberta,2007,Coccinella septempunctata,53.392778,-112.45777,0.0
2,2,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2008,Coccinella septempunctata,49.09999847412109,-113.9499969482422,0.0
3,3,,Alberta,2008,Coccinella septempunctata,49.1,-113.96,0.0
4,4,Centre for Biodiversity Genomics,Alberta,2008,Coccinella septempunctata,49.1,-113.95,0.0
5,5,,Alberta,2008,Coccinella septempunctata,49.104,-113.959,0.0
6,6,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2008,Coccinella septempunctata,51.13999938964844,-115.41999816894533,0.0
7,7,Centre for Biodiversity Genomics,Alberta,2008,Coccinella septempunctata,51.14,-115.42,0.0
8,8,,Alberta,2008,Coccinella septempunctata,51.148,-115.42,0.0
9,9,,Alberta,2008,Coccinella septempunctata,51.15,-115.42,0.0
10,10,European Molecular Biology Laboratory (EMBL),Alberta,2008,Coccinella septempunctata,51.150001525878906,-115.41999816894533,0.0
11,11,European Molecular Biology Laboratory (EMBL),Alberta,2008,Coccinella septempunctata,51.16999816894531,-115.58999633789062,0.0
12,12,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2008,Coccinella septempunctata,51.16999816894531,-115.58000183105467,0.0
13,13,,Alberta,2008,Coccinella septempunctata,51.17,-115.59,0.0
14,14,Centre for Biodiversity Genomics,Alberta,2008,Coccinella septempunctata,51.17,-115.58,0.0
15,15,,Alberta,2008,Coccinella septempunctata,51.171,-115.586,0.0
16,16,I-naturalist,Alberta,2008,Coccinella septempunctata,53.543062,-113.466614,11.0
17,17,I-naturalist,Alberta,2008,Coccinella septempunctata,53.5431636031,-113.468105793,31.0
18,18,I-naturalist,Alberta,2008,Coccinella septempunctata,53.5622085854,-113.2753944397,50.0
19,19,I-naturalist,Alberta,2008,Coccinella septempunctata,53.5622595645,-113.275244236,61.0
20,20,The Lost Ladybugs,Alberta,2009,Coccinella septempunctata,53.3,-113.31,0.0
21,21,The Lost Ladybugs,Alberta,2010,Coccinella septempunctata,51.045,-114.05722,0.0
22,22,The Lost Ladybugs,Alberta,2010,Coccinella septempunctata,51.055149,-114.06243,0.0
23,23,,Alberta,2010,Coccinella septempunctata,51.42,-116.43,0.0
24,24,European Molecular Biology Laboratory (EMBL),Alberta,2010,Coccinella septempunctata,52.84999847412109,-118.11000061035156,0.0
25,25,,Alberta,2010,Coccinella septempunctata,52.85,-118.11,0.0
26,26,The Lost Ladybugs,Alberta,2010,Coccinella septempunctata,53.5319442,-113.49115,0.0
27,27,Centre for Biodiversity Genomics,Alberta,2010,Coccinella septempunctata,53.68,-112.81,0.0
28,28,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2010,Coccinella septempunctata,53.68000030517578,-112.80999755859376,0.0
29,29,,Alberta,2010,Coccinella septempunctata,53.687,-112.813,0.0
30,30,European Molecular Biology Laboratory (EMBL),Alberta,2010,Coccinella septempunctata,53.68999862670898,-112.80999755859376,0.0
31,31,,Alberta,2010,Coccinella septempunctata,53.69,-112.81,0.0
32,32,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,50.9269119,-114.05563,0.0
33,33,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,51.045,-114.05722,0.0
34,34,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,51.0650259,-114.11509,0.0
35,35,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,53.4732682,-113.37093,0.0
36,36,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,53.543564,-113.49045,0.0
37,37,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,53.544389,-113.49092,0.0
38,38,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,53.5581446,-113.57822,0.0
39,39,The Lost Ladybugs,Alberta,2011,Coccinella septempunctata,54.174063,-114.05193,0.0
40,40,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2012,Coccinella septempunctata,49.04999923706055,-114.01000213623048,0.0
41,41,Centre for Biodiversity Genomics,Alberta,2012,Coccinella septempunctata,49.05,-114.01,0.0
42,42,,Alberta,2012,Coccinella septempunctata,49.059,-114.014,0.0
43,43,,Alberta,2012,Coccinella septempunctata,49.06,-114.01,0.0
44,44,,Alberta,2012,Coccinella septempunctata,49.06,-113.78,0.0
45,45,Centre for Biodiversity Genomics,Alberta,2012,Coccinella septempunctata,49.06,-113.77,0.0
46,46,European Molecular Biology Laboratory (EMBL),Alberta,2012,Coccinella septempunctata,49.060001373291016,-114.01000213623048,0.0
47,47,European Molecular Biology Laboratory (EMBL),Alberta,2012,Coccinella septempunctata,49.060001373291016,-113.77999877929688,0.0
48,48,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2012,Coccinella septempunctata,49.060001373291016,-113.7699966430664,0.0
49,49,,Alberta,2012,Coccinella septempunctata,49.065,-113.779,0.0
50,50,,Alberta,2012,Coccinella septempunctata,49.065,-113.778,0.0
51,51,Centre for Biodiversity Genomics,Alberta,2012,Coccinella septempunctata,49.08,-113.88,0.0
52,52,Centre for Biodiversity Genomics,Alberta,2012,Coccinella septempunctata,49.08,-113.87,0.0
53,53,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2012,Coccinella septempunctata,49.08000183105469,-113.87999725341795,0.0
54,54,"University of Guelph, Centre for Biodiversity Genomics",Alberta,2012,Coccinella septempunctata,49.08000183105469,-113.87000274658205,0.0
55,55,,Alberta,2012,Coccinella septempunctata,49.081,-113.879,0.0
