,Source,State,Year,Species,Latitude,Longitude,public_positional_accuracy
0,Santa Barbara Museum of Natural History Entomology Collection,California,2007,Adalia bipunctata,39.4965,-122.9395,0.0
1,I-naturalist,Utah,2019,Adalia bipunctata,40.7435749378,-111.8581038808,10.0
2,I-naturalist,Nevada,2019,Adalia bipunctata,39.5161332207,-119.8152319428,32.0
3,I-naturalist,Nevada,2019,Adalia bipunctata,39.508305,-119.775895,4.0
4,I-naturalist,Nevada,2019,Adalia bipunctata,39.5408366667,-119.8310783333,10.0
5,I-naturalist,Montana,2019,Adalia bipunctata,46.88772,-113.966775,65.0
6,I-naturalist,Montana,2019,Adalia bipunctata,46.5878966125,-112.0038793423,50.0
7,I-naturalist,Utah,2019,Adalia bipunctata,40.3293354215,-111.7172851413,5.0
8,I-naturalist,Oregon,2019,Adalia bipunctata,45.5764856011,-122.633451854,8.0
9,I-naturalist,Oregon,2019,Adalia bipunctata,45.2042827,-117.8714093,23.0
10,I-naturalist,Oregon,2019,Adalia bipunctata,45.2042656,-117.8714755,28.0
11,I-naturalist,Oregon,2019,Adalia bipunctata,45.20415826,-117.87135672,15.0
12,I-naturalist,Oregon,2019,Adalia bipunctata,45.20423793,-117.87133554,8.0
13,I-naturalist,Oregon,2019,Adalia bipunctata,45.20412947,-117.87138953,10.0
14,I-naturalist,Oregon,2019,Adalia bipunctata,45.20423231,-117.87131886,21.0
15,I-naturalist,Oregon,2019,Adalia bipunctata,45.5216293335,-122.3986968994,0.0
16,I-naturalist,Oregon,2019,Adalia bipunctata,45.5290033333,-122.5433283333,24.0
17,I-naturalist,Utah,2019,Adalia bipunctata,40.6660485719,-111.8305089549,65.0
18,I-naturalist,Utah,2019,Adalia bipunctata,40.5771365023,-111.8336105347,263.0
19,I-naturalist,Utah,2019,Adalia bipunctata,40.6616388844,-111.9677841624,722.0
20,I-naturalist,Utah,2019,Adalia bipunctata,40.7201271057,-111.9729995728,0.0
21,I-naturalist,Utah,2019,Adalia bipunctata,40.5701779847,-111.8440961822,488.0
22,I-naturalist,Utah,2019,Adalia bipunctata,40.599117,-111.8475806,155.0
23,I-naturalist,Utah,2019,Adalia bipunctata,40.7636633333,-111.8489616667,65.0
24,I-naturalist,Utah,2019,Adalia bipunctata,40.7441099723,-111.9203054837,6.0
