latitude,longitude,scientificname,occurrenceRemarks,Year
49.767,-100.628,Hippodamia parenthesis,Note,2015
49.0,-106.55,Hippodamia parenthesis,Note,2014
42.9194,-71.4065,Hippodamia parenthesis,Note,2014
49.76,-100.62,Hippodamia parenthesis,Note,2015
44.1510983,-103.30796,Hippodamia parenthesis,Note,2009
49.7599983215332,-100.62000274658205,Hippodamia parenthesis,Note,2015
50.97999954223633,-107.12999725341795,Hippodamia parenthesis,Note,2015
49.0,-106.5500030517578,Hippodamia parenthesis,Note,2014
41.03164,-91.963376,Hippodamia parenthesis,Note,2014
42.9738693,-77.853286,Hippodamia parenthesis,Note,2014
39.033,-104.471,Hippodamia parenthesis,Note,2014
42.106687,-83.430928,Hippodamia parenthesis,Note,2009
42.587072,-72.573941,Hippodamia parenthesis,Note,2014
40.06767,-76.281219,Hippodamia parenthesis,Note,2014
40.9096716667,-76.1000221667,Hippodamia parenthesis,Note,2021
40.4453999722,-75.6268529722,Hippodamia parenthesis,Note,2021
49.8057969722,-99.640218,Hippodamia parenthesis,Note,2021
43.4313663,-96.69727,Hippodamia parenthesis,Note,2009
49.7443738825,-118.936390878,Hippodamia parenthesis,Note,2021
38.9797141,-105.35749,Hippodamia parenthesis,Note,2009
42.587072,-72.573941,Hippodamia parenthesis,Note,2015
44.09693975,-78.168068,Hippodamia parenthesis,Note,2021
41.782016,-103.51679,Hippodamia parenthesis,Note,2008
45.78398,-75.0989916667,Hippodamia parenthesis,Note,2021
53.67478,-112.8204633333,Hippodamia parenthesis,Note,2021
43.8986062997,-77.2799109997,Hippodamia parenthesis,Note,2021
40.1828512869,-116.8960129225,Hippodamia parenthesis,Note,2021
49.0,-106.56,Hippodamia parenthesis,Note,2014
46.1667216667,-113.0646666667,Hippodamia parenthesis,Note,2021
49.18,-107.69,Hippodamia parenthesis,Note,2008
49.18,-107.68,Hippodamia parenthesis,Note,2008
49.07,-106.53,Hippodamia parenthesis,Note,2008
49.071,-106.531,Hippodamia parenthesis,Note,2008
49.77,-100.63,Hippodamia parenthesis,Note,2015
38.990020267,-93.5667738321,Hippodamia parenthesis,Note,2021
50.8022313864,-115.3679546714,Hippodamia parenthesis,Note,2021
42.8500785,-106.32778,Hippodamia parenthesis,Note,2014
41.6122336256,-83.8074899315,Hippodamia parenthesis,Note,2021
36.3925,-81.02927,Hippodamia parenthesis,Note,2008
46.1304206,-112.95333,Hippodamia parenthesis,Note,2015
42.4169966667,-103.7582466667,Hippodamia parenthesis,Note,2015
53.543546,-113.467172,Hippodamia parenthesis,Note,2008
42.65565,-80.5727183333,Hippodamia parenthesis,Note,2021
45.5921866667,-73.2449416667,Hippodamia parenthesis,Note,2021
40.612365,-120.720234,Hippodamia parenthesis,Note,2015
35.2400472222,-107.660775,Hippodamia parenthesis,Note,2021
37.853807,-118.961375,Hippodamia parenthesis,Note,2015
53.5622595645,-113.275244236,Hippodamia parenthesis,Note,2008
44.5725740427,-73.5705320165,Hippodamia parenthesis,Note,2021
36.1962945066,-105.2243145982,Hippodamia parenthesis,Note,2021
49.18000030517578,-107.69000244140624,Hippodamia parenthesis,Note,2008
53.5622085854,-113.2753944397,Hippodamia parenthesis,Note,2008
37.9521666667,-118.4511866667,Hippodamia parenthesis,Note,2021
49.0,-106.55999755859376,Hippodamia parenthesis,Note,2014
42.7643366667,-71.855545,Hippodamia parenthesis,Note,2021
43.906,-77.24,Hippodamia parenthesis,Note,2008
40.7217869233,-99.3697406352,Hippodamia parenthesis,Note,2021
50.9339199326,-115.7176792511,Hippodamia parenthesis,Note,2021
43.8991383333,-77.0551916667,Hippodamia parenthesis,Note,2021
53.6015116,-106.516698,Hippodamia parenthesis,Note,2021
50.1070149722,-123.2059349722,Hippodamia parenthesis,Note,2021
49.0532083333,-114.0758528333,Hippodamia parenthesis,Note,2021
39.8494383333,-105.4284533333,Hippodamia parenthesis,Note,2021
44.1562423706,-77.7039337158,Hippodamia parenthesis,Note,2021
41.0224388333,-82.095025,Hippodamia parenthesis,Note,2021
40.6976370191,-81.1772745364,Hippodamia parenthesis,Note,2021
38.533,-104.411,Hippodamia parenthesis,Note,2014
39.7428703,-105.51972,Hippodamia parenthesis,Note,2014
49.18000030517578,-107.68000030517578,Hippodamia parenthesis,Note,2008
39.1278989722,-84.790907,Hippodamia parenthesis,Note,2021
40.42313,-81.2441716667,Hippodamia parenthesis,Note,2021
49.06999969482422,-106.52999877929688,Hippodamia parenthesis,Note,2008
40.848495,-81.1060195,Hippodamia parenthesis,Note,2021
38.5625,-104.3437,Hippodamia parenthesis,Note,2014
50.98,-107.135,Hippodamia parenthesis,Note,2015
50.98,-107.13,Hippodamia parenthesis,Note,2015
49.182,-107.687,Hippodamia parenthesis,Note,2008
40.8339425,-83.6507644,Hippodamia parenthesis,Note,2021
37.137877,-82.814908,Hippodamia parenthesis,Note,2014
40.0670720704,-82.4485413448,Hippodamia parenthesis,Note,2021
50.98,-107.14,Hippodamia parenthesis,Note,2015
37.3474617,-108.29113,Hippodamia parenthesis,Note,2015
48.1139944444,-96.1536666667,Hippodamia parenthesis,Note,2021
45.5646454997,-67.4248065,Hippodamia parenthesis,Note,2021
40.424845,-105.220236,Hippodamia parenthesis,Note,2015
40.7156427869,-93.7643243153,Hippodamia parenthesis,Note,2015
41.572127,-90.578862,Hippodamia parenthesis,Note,2015
42.432082,-103.79284,Hippodamia parenthesis,Note,2019
43.08698306,-79.08523215,Hippodamia parenthesis,Note,2018
47.60961824,-103.376604019,Hippodamia parenthesis,Note,2018
52.20152,-107.2843183333,Hippodamia parenthesis,Note,2020
47.81845,-92.24051,Hippodamia parenthesis,Note,2018
44.614035,-79.0595983333,Hippodamia parenthesis,Note,2018
50.962520089,-106.4741925521,Hippodamia parenthesis,Note,2020
47.909153,-97.304665,Hippodamia parenthesis,Note,2011
45.5049658,-76.6298365,Hippodamia parenthesis,Note,2020
45.2100868056,-70.7909249167,Hippodamia parenthesis,Note,2018
44.52263566,-68.54156521,Hippodamia parenthesis,Note,2018
44.980833992,-78.6220590297,Hippodamia parenthesis,Note,2018
43.2446416667,-81.8817983333,Hippodamia parenthesis,Note,2018
45.4041671753,-93.186668396,Hippodamia parenthesis,Note,2018
43.4394348266,-80.5353074205,Hippodamia parenthesis,Note,2018
49.0142842957,-119.5893362523,Hippodamia parenthesis,Note,2020
42.7077,-80.34139,Hippodamia parenthesis,Note,2011
45.772943,-73.725011,Hippodamia parenthesis,Note,2011
49.085,-115.132,Hippodamia parenthesis,Note,2011
51.2173694444,-123.1841833333,Hippodamia parenthesis,Note,2020
43.0811624166,-77.6658538104,Hippodamia parenthesis,Note,2018
46.1270925,-112.94916,Hippodamia parenthesis,Note,2012
49.1520361111,-120.7662722222,Hippodamia parenthesis,Note,2020
51.2075277778,-123.2888861111,Hippodamia parenthesis,Note,2020
53.3902778,-112.45777,Hippodamia parenthesis,Note,2011
44.0445570768,-72.196861034,Hippodamia parenthesis,Note,2020
47.81885,-92.24419,Hippodamia parenthesis,Note,2013
37.96,-119.123,Hippodamia parenthesis,Note,2011
32.668858,-109.87756,Hippodamia parenthesis,Note,2018
35.1883916667,-111.644495,Hippodamia parenthesis,Note,2018
43.1275237915,-96.2069133247,Hippodamia parenthesis,Note,2018
42.2884535278,-88.3719933406,Hippodamia parenthesis,Note,2018
41.1402520592,-81.8744358365,Hippodamia parenthesis,Note,2018
53.9230859787,-106.0856730212,Hippodamia parenthesis,Note,2020
41.30039006,-84.74354111,Hippodamia parenthesis,Note,2018
39.5722,-82.0423,Hippodamia parenthesis,Note,2018
49.06183617,-120.82567,Hippodamia parenthesis,Note,2020
43.85315,-101.203895,Hippodamia parenthesis,Note,2017
43.78692,-99.33918,Hippodamia parenthesis,Note,2017
40.4614972222,-94.783675,Hippodamia parenthesis,Note,2020
44.08431117,-69.80152167,Hippodamia parenthesis,Note,2020
46.2966283333,-93.8230366667,Hippodamia parenthesis,Note,2017
46.7988428968,-96.1220347881,Hippodamia parenthesis,Note,2017
43.437947603,-71.2121871673,Hippodamia parenthesis,Note,2017
38.37482888,-84.42050125,Hippodamia parenthesis,Note,2018
45.0685676034,-75.0084642693,Hippodamia parenthesis,Note,2020
43.288775,-81.7992733333,Hippodamia parenthesis,Note,2018
43.2894133333,-81.7987583333,Hippodamia parenthesis,Note,2018
44.3190404161,-76.5420524116,Hippodamia parenthesis,Note,2020
40.7622184753,-77.618347168,Hippodamia parenthesis,Note,2018
53.5365472222,-105.7734366667,Hippodamia parenthesis,Note,2020
44.17,-69.625833,Hippodamia parenthesis,Note,2011
51.4191416667,-122.2783083333,Hippodamia parenthesis,Note,2020
44.5840707039,-104.7095077816,Hippodamia parenthesis,Note,2018
46.52779667,-121.34493333,Hippodamia parenthesis,Note,2020
44.3815216667,-72.88678,Hippodamia parenthesis,Note,2018
45.0479759101,-75.9226717166,Hippodamia parenthesis,Note,2020
52.9709466667,-114.0222983333,Hippodamia parenthesis,Note,2020
44.294912,-92.215112,Hippodamia parenthesis,Note,2013
45.0492368879,-75.923576653,Hippodamia parenthesis,Note,2020
49.6741854373,-103.8375150296,Hippodamia parenthesis,Note,2020
44.5728151091,-75.7213850487,Hippodamia parenthesis,Note,2020
44.8897911966,-73.466287426,Hippodamia parenthesis,Note,2019
43.5453491,-96.731277,Hippodamia parenthesis,Note,2012
49.75518,-106.76117,Hippodamia parenthesis,Note,2019
37.9886388889,-119.1848138889,Hippodamia parenthesis,Note,2019
49.14,-107.53,Hippodamia parenthesis,Note,2012
49.149,-107.53,Hippodamia parenthesis,Note,2012
49.150001525878906,-107.52999877929688,Hippodamia parenthesis,Note,2012
49.09000015258789,-113.87999725341795,Hippodamia parenthesis,Note,2012
42.18483,-73.519127,Hippodamia parenthesis,Note,2012
48.3380393,-70.883453,Hippodamia parenthesis,Note,2012
44.3739366667,-72.9036116667,Hippodamia parenthesis,Note,2019
49.13999938964844,-107.52999877929688,Hippodamia parenthesis,Note,2012
49.08,-113.88,Hippodamia parenthesis,Note,2012
49.08,-113.87,Hippodamia parenthesis,Note,2012
51.1546336894,-114.3770016051,Hippodamia parenthesis,Note,2019
49.088,-113.883,Hippodamia parenthesis,Note,2012
49.081,-113.879,Hippodamia parenthesis,Note,2012
49.08000183105469,-113.87000274658205,Hippodamia parenthesis,Note,2012
40.9710716728,-105.0763320923,Hippodamia parenthesis,Note,2019
42.2997226349,-72.2390587418,Hippodamia parenthesis,Note,2019
42.6691423,-103.46469292,Hippodamia parenthesis,Note,2019
42.66519695,-103.46078624,Hippodamia parenthesis,Note,2019
35.58433,-83.0713721667,Hippodamia parenthesis,Note,2019
46.5788800568,-71.614987052,Hippodamia parenthesis,Note,2019
45.4194013,-93.194041,Hippodamia parenthesis,Note,2012
49.15,-107.53,Hippodamia parenthesis,Note,2012
49.09,-113.88,Hippodamia parenthesis,Note,2012
40.5237806752,-107.5640822438,Hippodamia parenthesis,Note,2019
40.5239040897,-107.5643180098,Hippodamia parenthesis,Note,2019
44.8896571901,-76.1274402962,Hippodamia parenthesis,Note,2019
39.67,-104.45,Hippodamia parenthesis,Note,2012
38.53,-104.82136,Hippodamia parenthesis,Note,2012
42.587072,-72.573941,Hippodamia parenthesis,Note,2012
40.516476758,-109.5965526626,Hippodamia parenthesis,Note,2019
36.5572201247,-105.4167992994,Hippodamia parenthesis,Note,2019
44.2241280917,-96.3086488607,Hippodamia parenthesis,Note,2019
40.91055,-76.09800833,Hippodamia parenthesis,Note,2020
41.1098916667,-77.4890916667,Hippodamia parenthesis,Note,2020
41.137485453,-78.7152114139,Hippodamia parenthesis,Note,2020
41.0638569859,-75.5610824566,Hippodamia parenthesis,Note,2020
43.6365693,-113.30028,Hippodamia parenthesis,Note,2012
50.0360852938,-110.7207301458,Hippodamia parenthesis,Note,2020
37.1910166667,-118.6666555556,Hippodamia parenthesis,Note,2020
45.8855025293,-77.273935827,Hippodamia parenthesis,Note,2020
49.110649,-119.674355,Hippodamia parenthesis,Note,2020
42.70769882202149,-80.34139251708984,Hippodamia parenthesis,Note,2011
43.7736206796,-73.1038294907,Hippodamia parenthesis,Note,2020
50.7944315228,-103.8990563623,Hippodamia parenthesis,Note,2020
40.4053232276,-105.0968952914,Hippodamia parenthesis,Note,2018
49.08000183105469,-113.87999725341795,Hippodamia parenthesis,Note,2012
42.029994,-91.630559,Hippodamia parenthesis,Note,2012
38.0184361111,-119.1659166667,Hippodamia parenthesis,Note,2018
35.1838607788,-111.6326293945,Hippodamia parenthesis,Note,2019
37.76627,-118.7039716667,Hippodamia parenthesis,Note,2018
42.0686367,-88.413415,Hippodamia parenthesis,Note,2012
52.258793711,-113.7883910537,Hippodamia parenthesis,Note,2020
47.0563053341,-79.7787161365,Hippodamia parenthesis,Note,2020
45.1688713,-73.6815322,Hippodamia parenthesis,Note,2020
38.0182445,-119.166,Hippodamia parenthesis,Note,2018
45.4329538713,-93.1915715455,Hippodamia parenthesis,Note,2012
50.6805566667,-121.457465,Hippodamia parenthesis,Note,2020
43.3594444,-73.656944,Hippodamia parenthesis,Note,2011
48.4984664917,-120.761756897,Hippodamia parenthesis,Note,2021
41.6650287869,-91.5844664329,Hippodamia parenthesis,Note,2021
41.6650708279,-91.5845747723,Hippodamia parenthesis,Note,2021
48.715392,-121.998253,Hippodamia parenthesis,Note,2021
39.3585,-105.3845,Hippodamia parenthesis,Note,2010
41.66493789,-91.58444145,Hippodamia parenthesis,Note,2021
40.8230379722,-93.720465,Hippodamia parenthesis,Note,2021
46.1815922649,-121.4834086227,Hippodamia parenthesis,Note,2021
34.6038093333,-82.7353439167,Hippodamia parenthesis,Note,2021
39.4746483816,-107.2234036123,Hippodamia parenthesis,Note,2016
38.5259,-104.425,Hippodamia parenthesis,Note,2010
51.3521527778,-105.2159111111,Hippodamia parenthesis,Note,2016
41.505363,-121.112874,Hippodamia parenthesis,Note,2016
40.4233142,-104.70913,Hippodamia parenthesis,Note,2010
44.3597793579,-98.2107162476,Hippodamia parenthesis,Note,2021
45.1390312997,-76.3840890997,Hippodamia parenthesis,Note,2021
42.4486111,-71.877777,Hippodamia parenthesis,Note,2010
52.81,-118.02,Hippodamia parenthesis,Note,2010
43.217296565,-85.5391485606,Hippodamia parenthesis,Note,2021
45.8407991426,-86.6721142922,Hippodamia parenthesis,Note,2021
42.7539591,-76.702448,Hippodamia parenthesis,Note,2010
43.906,-77.24,Hippodamia parenthesis,Note,2010
38.8732135997,-106.9804895,Hippodamia parenthesis,Note,2021
43.2966633333,-89.3807,Hippodamia parenthesis,Note,2021
44.8805732727,-92.6276550293,Hippodamia parenthesis,Note,2021
41.8927032117,-89.3513232567,Hippodamia parenthesis,Note,2021
34.2313194,-111.32466,Hippodamia parenthesis,Note,2013
44.8642969039,-110.1691910439,Hippodamia parenthesis,Note,2021
40.78436525,-89.5750317222,Hippodamia parenthesis,Note,2021
41.7689838051,-72.1855059214,Hippodamia parenthesis,Note,2021
36.6695685818,-81.6064512476,Hippodamia parenthesis,Note,2021
38.5365,-104.417,Hippodamia parenthesis,Note,2013
39.338,-101.697,Hippodamia parenthesis,Note,2009
44.9477804587,-75.7230388893,Hippodamia parenthesis,Note,2021
41.7916546,-93.522159,Hippodamia parenthesis,Note,2009
46.624203,-71.497819,Hippodamia parenthesis,Note,2015
50.97999954223633,-107.13999938964844,Hippodamia parenthesis,Note,2015
38.0497996,-84.458548,Hippodamia parenthesis,Note,2009
46.384576,-71.432848,Hippodamia parenthesis,Note,2015
46.383377,-71.430193,Hippodamia parenthesis,Note,2015
50.7322006,-113.97,Hippodamia parenthesis,Note,2014
49.77000045776367,-100.62999725341795,Hippodamia parenthesis,Note,2015
40.182615,-80.13855,Hippodamia parenthesis,Note,2009
33.526,-105.439,Hippodamia parenthesis,Note,2009
42.1887721,-120.34579,Hippodamia parenthesis,Note,2009
42.895585,-71.582737,Hippodamia parenthesis,Note,2009
49.004414965,-119.61431324,Hippodamia parenthesis,Note,2021
