,name,shap_index
40,Harmonia_axyridis_18,0.95590955
24,Coccinella_septempunctata_18,0.51332676
16,Hippodamia_convergens_18,0.4872526
36,Cycloneda_polita_18,0.2978796
7,Hippodamia_tredecimpunctata_18,0.29581657
27,Propylea_quatuordecimpunctata_18,0.23866414
34,Cycloneda_sanguinea_18,0.21782961
41,Calvia_quatuordecimguttata_18,0.21636616
21,Anatis_mali_18,0.15353996
14,Anatis_lecontei_18,0.1529548
33,Cycloneda_munda_18,0.15265024
29,Brachiacantha_ursina_18,0.14842544
28,Psyllobora_vigintimaculata_18,0.14412166
45,Axion_plagiatum_18,0.1402698
46,Mulsantina_hudsonica_18,0.11004303
