,name,shap_index
15,Harmonia_axyridis_18,0.99231195
27,Hippodamia_convergens_18,0.73917276
3,Coccinella_septempunctata_18,0.59007955
21,Coccinella_transversoguttata_18,0.48413157
14,Chilocorus_stigma_18,0.29682192
23,Hippodamia_parenthesis_18,0.23317039
33,Psyllobora_vigintimaculata_18,0.1476274
1,Anatis_mali_18,0.14115459
31,Adalia_bipunctata_18,0.10905469
2,Olla_vnigrum_18,0.08036082
35,Cycloneda_polita_18,0.0711473
19,Coccinella_californica_18,0.068748206
9,Hippodamia_caseyi_18,0.054337658
29,Brachiacantha_ursina_18,0.0534707
11,Anatis_lecontei_18,0.051894736
