,name,shap_index
7,Harmonia_axyridis_18,1.7249092
19,Coccinella_septempunctata_18,0.88093066
22,Hippodamia_convergens_18,0.44495267
24,Coccinella_novemnotata_18,0.338233
20,Hippodamia_parenthesis_18,0.16601193
0,Olla_vnigrum_18,0.10111477
1,Psyllobora_vigintimaculata_18,0.08229314
2,Chilocorus_stigma_18,0.059688035
21,Cycloneda_polita_18,0.048445683
10,Hippodamia_caseyi_18,0.046914984
8,Coccinella_monticola_18,0.046752736
18,Exochomus_aethiops_18,0.03053425
4,Coccinella_trifasciata_18,0.029214252
12,Brachiacantha_ursina_18,0.01991456
11,Hippodamia_sinuata_18,0.01804701
14,Anatis_labiculata_18,0.010548
15,Psyllobora_renifer_18,0.0026522244
17,Hippodamia_quinquesignata_18,0.0026185322
9,Myzia_interrupta_18,0.00072161714
16,Anisosticta_bitriangularis_18,0.00010872533
3,Hyperaspis_lateralis_18,4.7807527e-05
5,Hippodamia_oregonensis_18,0.0
13,Halmus_chalybeus_18,0.0
23,Microweisea_misella_18,0.0
6,Didion_punctatum_18,0.0
