,name,shap_index
16,Harmonia_axyridis_18,0.6804595
27,Coccinella_septempunctata_18,0.568105
30,Cycloneda_polita_18,0.55324817
18,Cycloneda_munda_18,0.30351847
14,Anisosticta_bitriangularis_18,0.23848419
20,Coccinella_novemnotata_18,0.18346867
3,Hippodamia_convergens_18,0.16067986
10,Olla_vnigrum_18,0.15417427
6,Coccinella_transversoguttata_18,0.1356671
19,Psyllobora_vigintimaculata_18,0.11604571
9,Brachiacantha_ursina_18,0.1068894
24,Coccinella_trifasciata_18,0.08908887
23,Adalia_bipunctata_18,0.07703719
36,Hyperaspis_binotata_18,0.061451994
1,Mulsantina_picta_18,0.05056538
