,Year,AOO
0,2007.0,2936.0
1,2008.0,2624.0
2,2009.0,2640.0
3,2010.0,2636.0
4,2011.0,2640.0
5,2012.0,2560.0
6,2013.0,2352.0
7,2014.0,2540.0
8,2015.0,2544.0
9,2016.0,2120.0
10,2017.0,1972.0
11,2018.0,1872.0
12,2019.0,2204.0
13,2020.0,2336.0
14,2021.0,2436.0
0,2007.0,2948.0
1,2008.0,2628.0
2,2009.0,2660.0
3,2010.0,2632.0
4,2011.0,2640.0
5,2012.0,2564.0
6,2013.0,2464.0
7,2014.0,2568.0
8,2015.0,2648.0
9,2016.0,2096.0
10,2017.0,1976.0
11,2018.0,1860.0
12,2019.0,2200.0
13,2020.0,2332.0
14,2021.0,2444.0
0,2007.0,2932.0
1,2008.0,2628.0
2,2009.0,2640.0
3,2010.0,2640.0
4,2011.0,2640.0
5,2012.0,2596.0
6,2013.0,2372.0
7,2014.0,2564.0
8,2015.0,2548.0
9,2016.0,2104.0
10,2017.0,1944.0
11,2018.0,1848.0
12,2019.0,2208.0
13,2020.0,2332.0
14,2021.0,2448.0
0,2007.0,2936.0
1,2008.0,2628.0
2,2009.0,2624.0
3,2010.0,2632.0
4,2011.0,2624.0
5,2012.0,2600.0
6,2013.0,2464.0
7,2014.0,2560.0
8,2015.0,2648.0
9,2016.0,2116.0
10,2017.0,2060.0
11,2018.0,1848.0
12,2019.0,2232.0
13,2020.0,2344.0
14,2021.0,2460.0
0,2007.0,2932.0
1,2008.0,2600.0
2,2009.0,2624.0
3,2010.0,2628.0
4,2011.0,2624.0
5,2012.0,2564.0
6,2013.0,2460.0
7,2014.0,2544.0
8,2015.0,2648.0
9,2016.0,2100.0
10,2017.0,2060.0
11,2018.0,1900.0
12,2019.0,2252.0
13,2020.0,2340.0
14,2021.0,2464.0
0,2007.0,2936.0
1,2008.0,2628.0
2,2009.0,2628.0
3,2010.0,2632.0
4,2011.0,2624.0
5,2012.0,2564.0
6,2013.0,2464.0
7,2014.0,2560.0
8,2015.0,2648.0
9,2016.0,2112.0
10,2017.0,2064.0
11,2018.0,1872.0
12,2019.0,2232.0
13,2020.0,2340.0
14,2021.0,2452.0
0,2007.0,2948.0
1,2008.0,2600.0
2,2009.0,2644.0
3,2010.0,2632.0
4,2011.0,2640.0
5,2012.0,2556.0
6,2013.0,2360.0
7,2014.0,2552.0
8,2015.0,2552.0
9,2016.0,2128.0
10,2017.0,1944.0
11,2018.0,1848.0
12,2019.0,2204.0
13,2020.0,2332.0
14,2021.0,2452.0
0,2007.0,2936.0
1,2008.0,2632.0
2,2009.0,2660.0
3,2010.0,2636.0
4,2011.0,2640.0
5,2012.0,2564.0
6,2013.0,2464.0
7,2014.0,2572.0
8,2015.0,2652.0
9,2016.0,2100.0
10,2017.0,1996.0
11,2018.0,1860.0
12,2019.0,2216.0
13,2020.0,2340.0
14,2021.0,2452.0
0,2007.0,2948.0
1,2008.0,2596.0
2,2009.0,2660.0
3,2010.0,2640.0
4,2011.0,2640.0
5,2012.0,2584.0
6,2013.0,2372.0
7,2014.0,2564.0
8,2015.0,2556.0
9,2016.0,2108.0
10,2017.0,2024.0
11,2018.0,1860.0
12,2019.0,2200.0
13,2020.0,2336.0
14,2021.0,2444.0
0,2007.0,2936.0
1,2008.0,2628.0
2,2009.0,2612.0
3,2010.0,2632.0
4,2011.0,2624.0
5,2012.0,2568.0
6,2013.0,2356.0
7,2014.0,2536.0
8,2015.0,2548.0
9,2016.0,2096.0
10,2017.0,1956.0
11,2018.0,1880.0
12,2019.0,2216.0
13,2020.0,2340.0
14,2021.0,2444.0
0,2007.0,2936.0
1,2008.0,2596.0
2,2009.0,2644.0
3,2010.0,2636.0
4,2011.0,2640.0
5,2012.0,2596.0
6,2013.0,2456.0
7,2014.0,2524.0
8,2015.0,2636.0
9,2016.0,2084.0
