latitude,longitude,scientificname,occurrenceRemarks,Year
35.923055999103255,-106.500556,Hippodamia parenthesis,Note,2014
49.767,-100.628,Hippodamia parenthesis,Note,2015
49.0,-106.55,Hippodamia parenthesis,Note,2014
49.76,-100.62,Hippodamia parenthesis,Note,2015
49.7599983215332,-100.62000274658205,Hippodamia parenthesis,Note,2015
50.97999954223633,-107.12999725341795,Hippodamia parenthesis,Note,2015
49.0,-106.5500030517578,Hippodamia parenthesis,Note,2014
46.5897598,-112.0212,Hippodamia parenthesis,Note,2014
35.923057556152344,-106.50055694580078,Hippodamia parenthesis,Note,2014
38.2844889844,-104.6096992493,Hippodamia parenthesis,Note,2014
49.7443738825,-118.936390878,Hippodamia parenthesis,Note,2021
38.9797141,-105.35749,Hippodamia parenthesis,Note,2009
40.1828512869,-116.8960129225,Hippodamia parenthesis,Note,2021
49.0,-106.56,Hippodamia parenthesis,Note,2014
46.1667216667,-113.0646666667,Hippodamia parenthesis,Note,2021
39.0916586,-104.87275,Hippodamia parenthesis,Note,2009
49.07,-106.53,Hippodamia parenthesis,Note,2008
49.071,-106.531,Hippodamia parenthesis,Note,2008
49.77,-100.63,Hippodamia parenthesis,Note,2015
42.8500785,-106.32778,Hippodamia parenthesis,Note,2014
46.1304206,-112.95333,Hippodamia parenthesis,Note,2015
36.1962945066,-105.2243145982,Hippodamia parenthesis,Note,2021
37.9521666667,-118.4511866667,Hippodamia parenthesis,Note,2021
49.0,-106.55999755859376,Hippodamia parenthesis,Note,2014
50.9339199326,-115.7176792511,Hippodamia parenthesis,Note,2021
53.6015116,-106.516698,Hippodamia parenthesis,Note,2021
50.1070149722,-123.2059349722,Hippodamia parenthesis,Note,2021
38.533,-104.411,Hippodamia parenthesis,Note,2014
43.7105555556,-72.3053972222,Hippodamia parenthesis,Note,2021
43.7105444444,-72.3053972222,Hippodamia parenthesis,Note,2021
43.7105944444,-72.3053805556,Hippodamia parenthesis,Note,2021
43.7105861111,-72.3053805556,Hippodamia parenthesis,Note,2021
43.7105833333,-72.3053972222,Hippodamia parenthesis,Note,2021
43.710525,-72.3054055556,Hippodamia parenthesis,Note,2021
43.7106138889,-72.305375,Hippodamia parenthesis,Note,2021
38.2844291388,-104.6099737502,Hippodamia parenthesis,Note,2008
40.42313,-81.2441716667,Hippodamia parenthesis,Note,2021
49.06999969482422,-106.52999877929688,Hippodamia parenthesis,Note,2008
38.5625,-104.3437,Hippodamia parenthesis,Note,2014
50.98,-107.135,Hippodamia parenthesis,Note,2015
50.98,-107.13,Hippodamia parenthesis,Note,2015
40.8339425,-83.6507644,Hippodamia parenthesis,Note,2021
37.137877,-82.814908,Hippodamia parenthesis,Note,2014
43.7105305556,-72.3054055556,Hippodamia parenthesis,Note,2021
50.98,-107.14,Hippodamia parenthesis,Note,2015
43.7105416667,-72.3053888889,Hippodamia parenthesis,Note,2021
43.7105722222,-72.30535,Hippodamia parenthesis,Note,2021
37.3474617,-108.29113,Hippodamia parenthesis,Note,2015
