,Year,AOO
0,2007.0,892.0
1,2008.0,832.0
2,2009.0,852.0
3,2010.0,768.0
4,2011.0,800.0
5,2012.0,792.0
6,2013.0,824.0
7,2014.0,784.0
8,2015.0,756.0
9,2016.0,684.0
10,2017.0,748.0
11,2018.0,668.0
12,2019.0,728.0
13,2020.0,688.0
14,2021.0,708.0
0,2007.0,892.0
1,2008.0,832.0
2,2009.0,848.0
3,2010.0,772.0
4,2011.0,808.0
5,2012.0,760.0
6,2013.0,820.0
7,2014.0,788.0
8,2015.0,772.0
9,2016.0,692.0
10,2017.0,752.0
11,2018.0,668.0
12,2019.0,732.0
13,2020.0,688.0
14,2021.0,700.0
0,2007.0,892.0
1,2008.0,832.0
2,2009.0,856.0
3,2010.0,784.0
4,2011.0,800.0
5,2012.0,792.0
6,2013.0,816.0
7,2014.0,784.0
8,2015.0,772.0
9,2016.0,684.0
10,2017.0,752.0
11,2018.0,672.0
12,2019.0,720.0
13,2020.0,696.0
14,2021.0,696.0
0,2007.0,892.0
1,2008.0,844.0
2,2009.0,844.0
3,2010.0,796.0
4,2011.0,812.0
5,2012.0,800.0
6,2013.0,824.0
7,2014.0,788.0
8,2015.0,780.0
9,2016.0,672.0
10,2017.0,752.0
11,2018.0,672.0
12,2019.0,724.0
13,2020.0,636.0
14,2021.0,716.0
0,2007.0,892.0
1,2008.0,832.0
2,2009.0,848.0
3,2010.0,772.0
4,2011.0,808.0
5,2012.0,760.0
6,2013.0,808.0
7,2014.0,784.0
8,2015.0,756.0
9,2016.0,676.0
10,2017.0,748.0
11,2018.0,672.0
12,2019.0,716.0
13,2020.0,644.0
14,2021.0,696.0
0,2007.0,892.0
1,2008.0,832.0
2,2009.0,856.0
3,2010.0,796.0
4,2011.0,800.0
5,2012.0,800.0
6,2013.0,824.0
7,2014.0,796.0
8,2015.0,772.0
9,2016.0,688.0
10,2017.0,752.0
11,2018.0,672.0
12,2019.0,728.0
13,2020.0,684.0
14,2021.0,720.0
0,2007.0,900.0
1,2008.0,836.0
2,2009.0,852.0
3,2010.0,812.0
4,2011.0,796.0
5,2012.0,760.0
6,2013.0,816.0
7,2014.0,784.0
8,2015.0,768.0
9,2016.0,684.0
10,2017.0,740.0
11,2018.0,664.0
12,2019.0,712.0
13,2020.0,672.0
14,2021.0,712.0
0,2007.0,892.0
1,2008.0,844.0
2,2009.0,852.0
3,2010.0,780.0
4,2011.0,800.0
5,2012.0,800.0
6,2013.0,820.0
7,2014.0,788.0
8,2015.0,760.0
9,2016.0,680.0
10,2017.0,740.0
11,2018.0,672.0
12,2019.0,732.0
13,2020.0,672.0
14,2021.0,732.0
