,Year,AOO
0,2007.0,2016.0
1,2008.0,1800.0
2,2009.0,1844.0
3,2010.0,1852.0
4,2011.0,1788.0
5,2012.0,1656.0
6,2013.0,1504.0
7,2014.0,1380.0
8,2015.0,1520.0
9,2016.0,1388.0
10,2017.0,1296.0
11,2018.0,1164.0
12,2019.0,1144.0
13,2020.0,1252.0
14,2021.0,1420.0
0,2007.0,2040.0
1,2008.0,1800.0
2,2009.0,1844.0
3,2010.0,1836.0
4,2011.0,1788.0
5,2012.0,1656.0
6,2013.0,1504.0
7,2014.0,1380.0
8,2015.0,1508.0
9,2016.0,1436.0
10,2017.0,1280.0
11,2018.0,1144.0
12,2019.0,1156.0
13,2020.0,1248.0
14,2021.0,1396.0
0,2007.0,2016.0
1,2008.0,1800.0
2,2009.0,1840.0
3,2010.0,1864.0
4,2011.0,1816.0
5,2012.0,1652.0
6,2013.0,1524.0
7,2014.0,1424.0
8,2015.0,1508.0
9,2016.0,1432.0
10,2017.0,1296.0
11,2018.0,1192.0
12,2019.0,1160.0
13,2020.0,1288.0
14,2021.0,1400.0
0,2007.0,2012.0
1,2008.0,1820.0
2,2009.0,1844.0
3,2010.0,1868.0
4,2011.0,1816.0
5,2012.0,1628.0
6,2013.0,1508.0
7,2014.0,1424.0
8,2015.0,1508.0
9,2016.0,1416.0
10,2017.0,1280.0
11,2018.0,1164.0
12,2019.0,1152.0
13,2020.0,1272.0
14,2021.0,1432.0
0,2007.0,1988.0
1,2008.0,1800.0
2,2009.0,1840.0
3,2010.0,1864.0
4,2011.0,1804.0
5,2012.0,1660.0
6,2013.0,1512.0
7,2014.0,1424.0
8,2015.0,1496.0
9,2016.0,1436.0
10,2017.0,1276.0
11,2018.0,1188.0
12,2019.0,1168.0
13,2020.0,1284.0
14,2021.0,1432.0
0,2007.0,2040.0
1,2008.0,1820.0
2,2009.0,1844.0
3,2010.0,1840.0
4,2011.0,1800.0
5,2012.0,1664.0
6,2013.0,1508.0
7,2014.0,1380.0
8,2015.0,1520.0
9,2016.0,1400.0
10,2017.0,1280.0
11,2018.0,1152.0
12,2019.0,1188.0
13,2020.0,1240.0
14,2021.0,1404.0
0,2007.0,2016.0
1,2008.0,1796.0
2,2009.0,1844.0
3,2010.0,1840.0
4,2011.0,1788.0
5,2012.0,1656.0
6,2013.0,1484.0
7,2014.0,1376.0
8,2015.0,1512.0
9,2016.0,1412.0
10,2017.0,1260.0
11,2018.0,1116.0
12,2019.0,1100.0
13,2020.0,1212.0
14,2021.0,1356.0
0,2007.0,2000.0
1,2008.0,1804.0
2,2009.0,1844.0
3,2010.0,1856.0
4,2011.0,1788.0
5,2012.0,1652.0
6,2013.0,1524.0
7,2014.0,1424.0
8,2015.0,1496.0
9,2016.0,1400.0
10,2017.0,1280.0
11,2018.0,1160.0
12,2019.0,1172.0
13,2020.0,1260.0
14,2021.0,1416.0
0,2007.0,2040.0
1,2008.0,1800.0
2,2009.0,1840.0
3,2010.0,1864.0
4,2011.0,1796.0
5,2012.0,1652.0
6,2013.0,1512.0
7,2014.0,1436.0
8,2015.0,1504.0
9,2016.0,1444.0
10,2017.0,1296.0
11,2018.0,1240.0
12,2019.0,1192.0
13,2020.0,1288.0
14,2021.0,1420.0
0,2007.0,1988.0
1,2008.0,1800.0
2,2009.0,1844.0
3,2010.0,1864.0
4,2011.0,1816.0
5,2012.0,1652.0
6,2013.0,1524.0
7,2014.0,1436.0
8,2015.0,1500.0
